frequency, MAG[S21]*MAG[21], MAG[S31]*MAG[31], MAG[S41]*MAG[41]
211.5,0.000000259538283601,0.00021042113481,0.955695894409
212,0.000000252792756225,0.00020239330225,0.956135863684
212.5,0.000000245714524416,0.00019408669225,0.956656135744
213,0.000000238470095556,0.00018560247696,0.95726656
213.5,0.000000231215760801,0.00017702568601,0.957961350025
214,0.000000224095251769,0.00016844146225,0.958740597409
214.5,0.000000217243616836,0.00015991878681,0.959586772225
215,0.000000210785664996,0.00015152132836,0.960490162116
215.5,0.000000204835897744,0.00014330244681,0.961429275625
216,0.0000001994962225,0.00013531272976,0.962388468196
216.5,0.000000194857796329,0.00012758832025,0.963340287001
217,0.000000190996969024,0.000120165444,0.964269008784
217.5,0.000000187978609225,0.00011306919556,0.965151021241
218,0.000000185851521025,0.000106316721,0.965964637225
218.5,0.000000184653262369,0.0000999272132496,0.966692072025
219,0.000000184404112929,0.0000939081159844,0.967313557441
219.5,0.000000185111620516,0.0000882647097049,0.967819153284
220,0.000000186770044561,0.0000829972016784,0.968193025024
220.5,0.000000189359874025,0.0000781026435049,0.968425255396
221,0.000000192850965904,0.0000735740209009,0.968513825161
221.5,0.000000197199941184,0.0000694015621776,0.968450841801
222,0.000000202355125921,0.0000655725833361,0.968242224049
222.5,0.000000208253497104,0.0000620721803881,0.967889986596
223,0.000000214825761049,0.0000588838300164,0.967400109225
223.5,0.000000221994572569,0.0000559888538049,0.966786462009
224,0.000000229679604001,0.0000533679925156,0.966060957456
224.5,0.000000237794720164,0.0000510007365904,0.965239441156
225,0.000000246250167696,0.0000488659717764,0.964341676081
225.5,0.000000254956324624,0.0000469426411609,0.963385436484
226,0.000000263822967769,0.0000452093519641,0.962392392256
226.5,0.000000272761774756,0.0000436451816025,0.961386133009
227,0.000000281682824644,0.0000422294624964,0.960388240036
227.5,0.000000290503752256,0.00004094208196,0.959416332004
228,0.0000002991433636,0.0000397639964569,0.958495824784
228.5,0.0000003075257025,0.0000386768316649,0.957642302464
229,0.000000315578791696,0.0000376632599616,0.956873283601
229.5,0.000000323240005764,0.0000367071186496,0.956198445316
230,0.000000330447923716,0.0000357931779076,0.955629418969
230.5,0.000000337082425744,0.0000349074180625,0.955166110276
231,0.000000343178042596,0.0000340374229056,0.954806488164
231.5,0.0000003487020601,0.0000331716098704,0.954542678049
232,0.000000353630030224,0.00003229989889,0.954355101921
232.5,0.000000357946137796,0.0000314133346576,0.9542163856
